datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2022/11/25,3782.2,3760.4,3802.6,3751,77374,-0.475410651,3782.2,3701,3737,-1,-81.2,-45.2,81.2,-81.2,,,,,,,
2022/11/28,3737,3701,3747.4,3672.6,90494,-0.14419858,3737,3770,3858.6,-1,33,121.6,-33,33,,,,,,,
2022/11/29,3858.6,3770,3866.6,3770,96666,1.544784482,3858.6,3850,3860.4,-1,-8.6,1.8,8.6,-8.6,,,,,,,
2022/11/30,3860.4,3850,3876,3845.2,66145,6.11544336,3860.4,3935,3905,-1,74.6,44.6,-74.6,74.6,,,,,,,
2022/12/1,3905,3935,3965,3904,78292,-1.864256143,3905,3900,3883.6,1,-5,-21.4,-5,-5,,,,,,,
2022/12/2,3883.6,3900,3915.6,3882.4,63905,-8.852144259,3883.6,3927.8,3948,-1,44.2,64.4,-44.2,44.2,,,,,,,
2022/12/5,3948,3927.8,3954,3906,80125,-9.791512492,3948,3935,3969.8,-1,-13,21.8,13,-13,,,,,,,
2022/12/6,3969.8,3935,3996.4,3933.2,80441,-0.239480902,3969.8,3964.4,3958.2,-1,-5.4,-11.6,5.4,-5.4,,,,,,,
2022/12/7,3958.2,3964.4,4012.6,3944,84827,-5.649751416,3958.2,3960,3970.6,-1,1.8,12.4,-1.8,1.8,,,,,,,
2022/12/8,3970.6,3960,3979.8,3947,65455,-10.71891737,3970.6,3971.6,4005,-1,1,34.4,-1,1,,,,,,,
2022/12/9,4005,3971.6,4015.4,3952.2,81252,6.011332239,4005,3985,3963.2,-1,-20,-41.8,20,-20,,,,,,,
2022/12/12,3963.2,3985,3989.8,3958.2,69509,-1.198060885,3963.2,3963.2,3950.6,1,0,-12.6,0,0,,,,,,,
2022/12/13,3950.6,3963.2,3974.6,3946.2,60034,-5.982069164,3950.6,3950.8,3960.8,-1,0.2,10.2,-0.2,0.2,,,,,,,
2022/12/14,3960.8,3950.8,3979,3940.6,67134,0.626004932,3960.8,3965,3953.4,-1,4.2,-7.4,-4.2,4.2,,,,,,,
2022/12/15,3953.4,3965,3970.4,3930.6,53638,-2.535225076,3953.4,3930,3939,-1,-23.4,-14.4,23.4,-23.4,,,,,,,
2022/12/16,3939,3930,3959.6,3930,29425,8.378280793,3939,3971,3910.8,-1,32,-28.2,-32,32,,,,,,,
